V1,V2,V3,V4,V5,V6,V7,V8,bestlam,rmse
1,3,4,6,7,10,12,13,NA,NA
2,5,6,9,10,11,12,15,NA,NA
2,3,5,10,11,12,14,15,NA,NA
2,3,5,9,10,11,13,14,NA,NA
3,5,6,9,10,11,12,16,NA,NA
1,2,4,6,8,9,15,16,NA,NA
3,4,8,9,11,12,14,17,NA,NA
2,3,6,8,9,10,13,16,NA,NA
3,7,11,12,13,14,16,17,NA,NA
2,5,7,10,13,14,15,16,NA,NA
4,6,7,8,9,12,16,17,NA,NA
5,6,7,10,14,15,16,17,NA,NA
1,4,6,10,11,13,14,17,NA,NA
3,7,9,10,13,15,16,17,NA,NA
1,3,5,9,11,13,16,17,NA,NA
1,2,4,9,10,11,14,16,NA,NA
1,3,4,7,12,13,14,16,NA,NA
3,4,5,6,7,8,11,15,NA,NA
1,5,6,8,10,13,14,15,NA,NA
7,9,10,11,12,13,14,17,NA,NA
2,3,8,10,11,15,16,17,NA,NA
1,4,8,10,11,12,13,16,NA,NA
3,6,7,8,11,13,14,15,NA,NA
1,3,6,9,10,12,13,16,NA,NA
3,4,6,10,11,12,15,17,NA,NA
1,2,8,9,11,13,14,17,NA,NA
2,3,8,13,14,15,16,17,NA,NA
1,3,5,7,10,12,13,17,NA,NA
3,4,5,6,8,12,13,15,NA,NA
5,6,9,10,11,12,16,17,NA,NA
10,11,12,13,14,15,16,17,NA,NA
2,7,8,12,13,15,16,17,NA,NA
5,6,7,10,12,14,15,16,NA,NA
2,4,5,8,10,13,16,17,NA,NA
2,3,5,7,11,12,14,17,NA,NA
1,2,6,11,14,15,16,17,NA,NA
4,5,6,8,9,10,15,17,NA,NA
2,3,5,7,10,12,13,14,NA,NA
2,3,6,7,11,14,15,17,NA,NA
4,5,6,9,10,14,15,17,NA,NA
2,3,4,5,6,7,11,12,NA,NA
2,3,6,8,9,12,15,17,NA,NA
3,5,7,8,12,14,15,17,NA,NA
5,7,10,11,12,14,15,17,NA,NA
3,4,5,11,12,13,16,17,NA,NA
4,5,10,11,12,13,14,16,NA,NA
1,2,4,5,9,10,13,14,NA,NA
1,2,7,8,9,14,15,17,NA,NA
1,3,4,8,10,11,13,16,NA,NA
1,2,5,6,11,12,14,16,NA,NA
1,5,6,7,10,14,16,17,NA,NA
2,4,5,6,7,8,10,15,NA,NA
3,4,6,10,11,12,14,15,NA,NA
2,4,5,6,7,9,10,15,NA,NA
4,5,7,8,11,12,14,16,NA,NA
3,4,6,10,13,14,15,16,NA,NA
3,4,6,7,10,13,15,16,NA,NA
4,5,7,8,12,15,16,17,NA,NA
2,4,6,7,8,14,15,17,NA,NA
2,4,7,8,10,11,15,16,NA,NA
2,4,5,8,9,11,14,16,NA,NA
1,2,3,5,6,9,11,16,NA,NA
5,8,10,13,14,15,16,17,NA,NA
3,4,5,9,10,14,15,16,NA,NA
1,2,4,5,6,7,15,16,NA,NA
2,3,5,6,13,14,16,17,NA,NA
1,4,8,9,12,13,15,17,NA,NA
2,3,8,11,12,14,15,17,NA,NA
3,4,5,6,11,12,16,17,NA,NA
2,3,6,9,10,11,15,16,NA,NA
1,2,3,7,13,14,15,16,NA,NA
1,2,4,5,7,11,15,17,NA,NA
2,4,6,10,11,13,14,16,NA,NA
1,5,6,10,11,13,14,17,NA,NA
1,2,5,9,10,11,15,17,NA,NA
2,4,6,7,11,14,16,17,NA,NA
2,3,6,8,9,11,13,14,NA,NA
2,4,6,8,10,13,14,16,NA,NA
2,6,7,9,11,12,13,16,NA,NA
1,3,6,9,10,11,13,16,NA,NA
5,7,8,9,10,12,15,17,NA,NA
2,6,7,8,9,10,14,16,NA,NA
1,3,8,10,13,14,15,17,NA,NA
2,5,6,13,14,15,16,17,NA,NA
1,4,7,9,10,12,15,16,NA,NA
1,2,4,9,11,12,16,17,NA,NA
4,5,6,7,11,12,16,17,NA,NA
1,2,3,5,6,11,12,13,NA,NA
1,2,4,5,6,7,12,14,NA,NA
1,2,3,6,9,13,14,16,NA,NA
1,5,7,8,9,11,13,16,NA,NA
2,4,9,10,12,13,15,17,NA,NA
6,7,8,9,13,14,15,16,NA,NA
1,2,5,7,9,10,11,15,NA,NA
4,6,7,9,10,13,15,17,NA,NA
1,2,9,11,14,15,16,17,NA,NA
3,4,7,10,11,13,15,17,NA,NA
1,5,10,11,12,13,16,17,NA,NA
1,3,6,10,13,14,15,17,NA,NA
2,3,4,6,7,10,13,17,NA,NA
7,8,9,10,11,12,15,17,NA,NA
1,4,9,12,14,15,16,17,NA,NA
1,4,5,7,12,14,16,17,NA,NA
2,4,7,11,13,15,16,17,NA,NA
2,5,9,10,13,14,15,17,NA,NA
1,3,6,7,8,9,12,13,NA,NA
2,4,8,9,11,12,13,15,NA,NA
1,2,3,6,10,14,15,16,NA,NA
6,7,9,12,13,15,16,17,NA,NA
1,8,9,11,13,15,16,17,NA,NA
3,4,5,8,9,12,15,17,NA,NA
1,3,6,8,9,10,13,15,NA,NA
1,3,4,7,11,14,15,16,NA,NA
3,5,7,9,11,14,15,16,NA,NA
4,5,8,10,11,14,15,17,NA,NA
3,4,5,7,9,13,14,16,NA,NA
1,2,3,4,6,8,10,16,NA,NA
1,2,3,7,8,9,13,16,NA,NA
1,2,8,9,11,14,15,16,NA,NA
1,2,3,8,11,13,16,17,NA,NA
2,3,6,8,9,11,16,17,NA,NA
1,2,3,5,9,10,11,13,NA,NA
1,3,6,7,9,13,16,17,NA,NA
1,2,5,7,8,10,12,16,NA,NA
1,2,5,7,9,11,14,16,NA,NA
2,4,5,6,10,11,12,13,NA,NA
1,4,5,8,12,13,15,16,NA,NA
3,4,7,10,11,12,14,17,NA,NA
1,2,5,8,10,11,16,17,NA,NA
2,7,10,11,12,14,15,17,NA,NA
2,5,7,11,13,14,15,17,NA,NA
2,5,6,11,12,13,14,15,NA,NA
1,2,3,8,9,10,12,16,NA,NA
1,3,4,5,8,9,14,16,NA,NA
2,4,5,6,8,11,12,16,NA,NA
1,5,6,8,9,12,13,15,NA,NA
1,3,4,5,7,14,15,17,NA,NA
3,5,6,9,10,11,14,17,NA,NA
1,3,4,9,12,13,14,16,NA,NA
6,7,9,10,12,13,14,15,NA,NA
1,3,4,7,10,12,15,17,NA,NA
1,3,6,7,8,9,13,16,NA,NA
1,3,4,5,8,9,10,13,NA,NA
1,4,5,6,8,9,12,16,NA,NA
2,3,6,7,8,9,10,16,NA,NA
3,4,5,8,10,12,13,14,NA,NA
1,2,6,7,10,11,15,16,NA,NA
1,2,3,4,8,13,15,17,NA,NA
2,3,4,11,14,15,16,17,NA,NA
1,4,7,10,11,13,15,17,NA,NA
1,3,6,7,9,12,14,15,NA,NA
1,3,6,7,9,11,16,17,NA,NA
3,6,8,9,10,12,14,15,NA,NA
2,4,7,8,10,12,16,17,NA,NA
2,5,6,8,10,14,15,17,NA,NA
1,5,6,7,9,10,11,13,NA,NA
1,4,6,8,10,13,14,15,NA,NA
1,2,4,7,12,13,15,17,NA,NA
1,3,6,7,10,12,16,17,NA,NA
2,3,6,7,8,10,15,17,NA,NA
4,5,8,12,13,14,15,16,NA,NA
1,2,5,7,8,9,13,14,NA,NA
2,4,6,11,13,14,15,17,NA,NA
3,5,7,10,12,15,16,17,NA,NA
1,2,4,5,7,8,13,16,NA,NA
1,3,4,6,12,13,14,17,NA,NA
2,4,6,8,9,10,11,14,NA,NA
2,4,6,7,10,13,14,15,NA,NA
1,4,7,9,10,12,14,17,NA,NA
2,3,7,9,11,12,14,15,NA,NA
2,4,5,7,8,10,12,13,NA,NA
4,5,6,8,9,10,16,17,NA,NA
1,3,6,7,9,11,13,17,NA,NA
2,3,5,6,7,8,11,13,NA,NA
4,5,7,8,12,13,14,16,NA,NA
1,2,4,6,9,10,15,16,NA,NA
3,4,5,7,8,9,11,15,NA,NA
2,4,7,10,12,13,14,15,NA,NA
4,7,8,9,10,12,13,15,NA,NA
4,5,9,10,11,12,16,17,NA,NA
1,3,4,7,13,14,16,17,NA,NA
1,2,3,6,12,13,14,17,NA,NA
1,2,5,6,10,14,15,17,NA,NA
1,2,4,6,7,9,15,16,NA,NA
4,5,9,10,12,14,16,17,NA,NA
2,4,6,9,10,11,12,15,NA,NA
1,2,5,6,9,11,13,17,NA,NA
2,3,5,6,8,11,13,16,NA,NA
2,3,5,8,10,11,16,17,NA,NA
1,2,8,9,14,15,16,17,NA,NA
1,2,5,7,8,12,13,14,NA,NA
2,4,8,9,10,11,13,16,NA,NA
1,3,5,7,10,11,13,15,NA,NA
1,3,4,7,8,10,13,17,NA,NA
2,5,6,7,8,10,13,15,NA,NA
1,4,9,10,11,14,15,16,NA,NA
1,5,6,7,8,11,12,16,NA,NA
6,7,8,9,10,12,16,17,NA,NA
3,5,6,11,12,13,16,17,NA,NA
1,6,7,10,11,13,15,17,NA,NA
3,6,8,10,11,13,15,16,NA,NA
2,6,7,9,14,15,16,17,NA,NA
3,4,5,7,8,10,11,13,NA,NA
3,4,6,9,10,11,14,16,NA,NA
4,5,8,9,12,13,16,17,NA,NA
1,2,4,5,6,12,15,16,NA,NA
3,4,5,8,9,10,11,16,NA,NA
1,2,3,8,10,13,15,17,NA,NA
2,3,4,5,10,14,15,16,NA,NA
3,4,7,10,11,14,15,16,NA,NA
1,6,8,9,10,13,15,17,NA,NA
2,3,4,7,9,10,11,14,NA,NA
3,5,6,7,9,11,12,17,NA,NA
1,4,6,7,8,9,10,14,NA,NA
4,7,9,10,13,14,16,17,NA,NA
2,4,9,11,12,14,15,16,NA,NA
2,3,6,7,9,10,11,12,NA,NA
3,4,5,7,8,11,12,14,NA,NA
2,4,5,8,11,12,14,17,NA,NA
1,3,6,7,8,13,14,17,NA,NA
1,4,7,9,11,12,14,17,NA,NA
4,7,8,9,11,13,14,15,NA,NA
1,3,6,7,8,9,10,16,NA,NA
2,4,5,6,7,11,13,16,NA,NA
2,4,5,7,9,11,13,16,NA,NA
2,6,8,9,12,14,16,17,NA,NA
2,4,5,7,9,12,13,16,NA,NA
1,2,8,9,11,12,13,16,NA,NA
6,9,11,12,14,15,16,17,NA,NA
1,2,3,7,8,12,14,16,NA,NA
2,3,7,8,11,12,13,17,NA,NA
6,7,8,9,12,13,14,17,NA,NA
3,10,12,13,14,15,16,17,NA,NA
3,4,7,8,12,13,15,16,NA,NA
2,3,4,5,8,9,12,16,NA,NA
2,3,5,9,10,12,13,17,NA,NA
1,3,6,9,11,13,14,15,NA,NA
1,3,5,10,11,13,14,16,NA,NA
1,2,4,10,13,15,16,17,NA,NA
1,2,4,7,8,11,12,17,NA,NA
1,2,5,7,10,15,16,17,NA,NA
1,2,4,6,8,12,14,15,NA,NA
3,4,5,6,7,8,12,13,NA,NA
3,4,5,6,8,9,12,16,NA,NA
1,4,5,6,7,9,13,15,NA,NA
2,6,7,10,11,14,15,17,NA,NA
1,3,5,7,11,13,15,16,NA,NA
1,3,6,7,8,10,13,16,NA,NA
2,3,6,8,10,12,13,15,NA,NA
2,6,8,10,14,15,16,17,NA,NA
2,3,5,9,10,12,15,16,NA,NA
1,3,6,7,11,13,14,15,NA,NA
2,8,9,10,11,12,15,16,NA,NA
1,6,8,9,11,14,16,17,NA,NA
2,5,7,8,11,12,13,14,NA,NA
4,6,7,12,13,14,15,16,NA,NA
2,3,5,6,7,8,14,16,NA,NA
4,5,6,7,9,12,13,16,NA,NA
1,3,4,5,6,7,8,10,NA,NA
1,2,4,5,12,13,15,17,NA,NA
1,5,10,11,12,15,16,17,NA,NA
3,4,5,6,12,13,16,17,NA,NA
1,2,3,5,12,13,15,17,NA,NA
4,7,8,9,13,15,16,17,NA,NA
2,4,10,11,12,14,16,17,NA,NA
1,2,3,4,6,11,12,13,NA,NA
3,7,8,11,12,13,14,16,NA,NA
1,2,5,9,11,12,13,17,NA,NA
1,4,7,10,11,12,14,15,NA,NA
1,7,8,9,12,14,16,17,NA,NA
2,4,5,7,10,13,14,17,NA,NA
2,3,4,5,11,12,13,14,NA,NA
2,3,5,6,7,9,10,16,NA,NA
2,4,6,7,12,15,16,17,NA,NA
1,4,5,6,7,12,14,16,NA,NA
1,3,5,9,10,11,16,17,NA,NA
4,5,6,7,13,15,16,17,NA,NA
2,4,5,7,12,13,14,16,NA,NA
2,6,7,8,10,12,15,17,NA,NA
1,2,3,4,6,9,10,13,NA,NA
1,2,4,5,7,8,9,17,NA,NA
1,3,4,5,12,13,14,16,NA,NA
1,3,9,11,12,13,14,15,NA,NA
1,3,8,9,11,12,14,16,NA,NA
3,5,6,8,10,11,16,17,NA,NA
1,4,5,7,10,11,14,15,NA,NA
1,4,6,9,10,12,14,15,NA,NA
1,2,6,8,9,10,14,16,NA,NA
1,2,4,10,11,15,16,17,NA,NA
1,3,5,6,7,11,12,14,NA,NA
2,4,7,11,13,14,15,17,NA,NA
3,4,5,6,10,11,15,17,NA,NA
1,4,5,8,10,11,12,13,NA,NA
2,3,6,7,9,10,11,14,NA,NA
3,4,8,9,10,13,15,17,NA,NA
2,3,7,8,10,11,12,14,NA,NA
1,4,6,9,12,13,14,16,NA,NA
5,7,8,9,10,12,16,17,NA,NA
2,5,6,7,9,11,12,15,NA,NA
2,3,4,7,11,13,15,16,NA,NA
1,2,4,6,7,10,11,12,NA,NA
1,4,6,9,10,14,15,17,NA,NA
2,5,6,11,12,13,16,17,NA,NA
2,4,7,9,10,11,13,15,NA,NA
2,4,5,6,8,9,13,16,NA,NA
3,4,8,9,12,13,14,15,NA,NA
1,2,9,10,12,13,15,17,NA,NA
1,3,4,9,10,12,13,17,NA,NA
1,2,4,7,8,11,16,17,NA,NA
1,7,9,10,12,13,14,17,NA,NA
3,6,7,8,10,12,16,17,NA,NA
1,3,5,6,8,9,12,14,NA,NA
1,2,5,8,9,12,13,15,NA,NA
1,3,4,6,8,10,15,16,NA,NA
1,3,4,5,7,12,14,17,NA,NA
5,8,9,10,12,15,16,17,NA,NA
2,7,10,11,12,15,16,17,NA,NA
1,2,9,10,12,13,14,16,NA,NA
1,2,5,7,11,14,16,17,NA,NA
2,3,4,6,7,9,10,17,NA,NA
1,3,4,5,8,9,11,13,NA,NA
1,4,6,9,10,12,15,17,NA,NA
2,4,8,9,12,13,14,16,NA,NA
1,5,6,8,9,12,13,14,NA,NA
1,3,4,9,13,14,15,17,NA,NA
1,3,5,9,10,14,16,17,NA,NA
2,3,4,5,10,12,13,16,NA,NA
3,5,6,7,8,9,12,17,NA,NA
1,6,8,10,13,15,16,17,NA,NA
1,3,4,6,7,11,12,17,NA,NA
4,5,6,8,9,13,16,17,NA,NA
1,3,4,6,7,11,14,15,NA,NA
4,5,7,10,11,13,14,17,NA,NA
4,7,9,11,13,15,16,17,NA,NA
1,3,4,12,13,14,16,17,NA,NA
3,5,7,8,9,12,14,15,NA,NA
3,5,6,11,12,13,14,16,NA,NA
1,2,6,8,10,12,14,17,NA,NA
1,5,7,8,12,15,16,17,NA,NA
2,4,5,8,9,12,13,14,NA,NA
4,5,6,8,9,14,16,17,NA,NA
1,3,8,9,10,12,16,17,NA,NA
1,4,6,7,12,14,15,16,NA,NA
2,3,4,5,9,10,12,16,NA,NA
5,6,8,9,11,12,13,15,NA,NA
1,7,8,9,12,15,16,17,NA,NA
1,3,5,6,10,11,12,15,NA,NA
4,8,9,10,13,14,15,17,NA,NA
2,4,5,11,12,13,14,17,NA,NA
3,4,6,9,10,12,16,17,NA,NA
1,5,9,10,11,13,15,17,NA,NA
2,5,6,7,9,11,14,17,NA,NA
2,3,4,7,8,10,11,13,NA,NA
1,2,3,5,6,8,9,15,NA,NA
4,6,7,11,12,14,16,17,NA,NA
2,4,8,9,10,11,14,16,NA,NA
1,2,7,8,12,14,16,17,NA,NA
3,5,8,9,10,11,13,17,NA,NA
3,5,6,7,9,11,12,14,NA,NA
1,3,6,7,11,12,15,16,NA,NA
1,2,7,8,10,11,13,17,NA,NA
1,2,4,6,10,11,15,16,NA,NA
1,6,7,8,9,12,14,17,NA,NA
1,2,3,5,6,9,12,13,NA,NA
4,6,7,9,10,11,13,15,NA,NA
2,4,7,8,9,11,13,15,NA,NA
1,5,7,8,12,13,15,16,NA,NA
1,2,6,8,9,12,13,14,NA,NA
2,3,4,11,12,15,16,17,NA,NA
1,6,7,9,10,11,15,17,NA,NA
1,2,4,6,7,11,16,17,NA,NA
8,9,11,12,13,14,15,17,NA,NA
4,5,8,10,11,12,13,15,NA,NA
1,3,7,11,12,15,16,17,NA,NA
2,3,4,5,6,7,11,14,NA,NA
1,3,7,9,11,13,16,17,NA,NA
1,3,6,7,11,13,16,17,NA,NA
1,2,3,5,10,11,14,16,NA,NA
4,5,8,9,10,11,12,15,NA,NA
1,2,7,8,10,12,13,16,NA,NA
1,4,5,9,12,13,14,17,NA,NA
1,2,3,6,12,13,15,16,NA,NA
1,2,4,5,8,11,14,15,NA,NA
2,6,7,9,10,12,13,15,NA,NA
1,3,5,7,8,9,10,15,NA,NA
1,5,7,8,11,13,14,16,NA,NA
5,8,9,12,13,14,15,16,NA,NA
2,4,7,9,11,14,15,16,NA,NA
1,3,6,9,11,12,15,16,NA,NA
2,3,5,6,9,14,15,16,NA,NA
1,2,3,5,9,10,14,17,NA,NA
1,4,7,8,10,11,12,17,NA,NA
1,4,5,6,10,11,12,15,NA,NA
3,4,6,8,9,10,12,16,NA,NA
1,3,5,8,9,10,13,14,NA,NA
2,4,6,11,13,15,16,17,NA,NA
5,6,7,8,12,14,16,17,NA,NA
1,2,3,5,9,10,15,17,NA,NA
1,3,6,7,9,14,16,17,NA,NA
4,6,8,9,10,12,14,17,NA,NA
5,7,9,11,12,15,16,17,NA,NA
1,2,8,10,11,12,14,17,NA,NA
1,2,3,5,6,10,11,12,NA,NA
1,3,5,11,12,14,15,16,NA,NA
1,3,5,7,10,11,15,16,NA,NA
1,2,4,5,6,7,9,11,NA,NA
3,7,8,9,11,15,16,17,NA,NA
2,4,9,10,12,13,14,15,NA,NA
2,3,5,6,11,12,15,16,NA,NA
1,4,7,8,9,11,13,14,NA,NA
1,4,5,6,8,10,14,16,NA,NA
1,3,5,6,9,10,15,16,NA,NA
1,3,4,6,9,13,14,17,NA,NA
2,4,7,10,12,13,15,16,NA,NA
1,3,4,8,13,14,15,17,NA,NA
9,10,11,13,14,15,16,17,NA,NA
1,4,8,10,11,12,14,16,NA,NA
5,6,7,8,9,10,12,14,NA,NA
3,4,5,6,7,10,11,17,NA,NA
5,6,8,10,12,13,15,16,NA,NA
1,3,5,6,7,8,15,17,NA,NA
2,3,4,6,8,9,13,14,NA,NA
5,6,7,8,9,13,14,17,NA,NA
3,5,7,12,13,14,16,17,NA,NA
1,5,8,10,13,15,16,17,NA,NA
2,3,5,6,8,11,12,16,NA,NA
2,6,10,12,14,15,16,17,NA,NA
1,2,8,9,10,11,13,15,NA,NA
1,7,8,9,11,12,14,17,NA,NA
1,3,4,6,7,8,12,16,NA,NA
1,3,4,6,8,11,12,16,NA,NA
1,2,3,4,9,10,11,17,NA,NA
1,2,3,6,9,10,12,15,NA,NA
4,6,8,9,10,11,12,15,NA,NA
2,3,5,7,9,12,15,17,NA,NA
1,2,4,7,10,11,14,15,NA,NA
5,9,10,11,12,14,16,17,NA,NA
1,4,5,9,10,12,13,16,NA,NA
3,6,7,8,11,15,16,17,NA,NA
2,3,6,7,10,11,12,16,NA,NA
1,4,5,7,8,11,12,15,NA,NA
2,5,6,8,10,11,14,15,NA,NA
1,2,4,7,8,10,13,16,NA,NA
2,5,8,9,11,12,14,17,NA,NA
4,5,6,8,10,12,13,14,NA,NA
5,6,7,9,12,14,16,17,NA,NA
1,3,4,6,10,13,14,16,NA,NA
1,3,4,8,9,12,13,15,NA,NA
3,4,9,10,11,12,14,15,NA,NA
2,3,7,9,10,14,16,17,NA,NA
2,4,5,6,7,8,11,17,NA,NA
1,2,5,9,10,12,14,15,NA,NA
3,6,8,9,10,12,13,14,NA,NA
3,4,6,11,12,13,14,15,NA,NA
2,6,8,9,11,14,15,16,NA,NA
1,4,5,7,9,12,13,14,NA,NA
1,2,7,8,12,13,15,17,NA,NA
1,2,7,9,11,12,13,16,NA,NA
4,5,6,7,8,9,12,14,NA,NA
2,8,9,11,12,13,14,16,NA,NA
5,7,9,10,13,15,16,17,NA,NA
3,4,6,10,11,13,14,16,NA,NA
1,3,4,6,10,12,15,17,NA,NA
1,6,7,10,11,13,14,16,NA,NA
1,3,5,9,11,12,13,16,NA,NA
1,2,3,4,5,9,10,11,NA,NA
4,6,8,11,12,14,15,17,NA,NA
3,4,5,11,12,13,15,16,NA,NA
2,3,5,6,8,9,10,16,NA,NA
1,2,3,4,6,7,11,15,NA,NA
1,3,4,7,10,12,14,16,NA,NA
1,4,7,10,12,13,15,17,NA,NA
1,2,3,4,9,13,15,17,NA,NA
1,8,9,10,14,15,16,17,NA,NA
1,9,10,11,12,13,14,16,NA,NA
1,2,3,4,9,12,13,14,NA,NA
2,4,9,11,13,14,15,17,NA,NA
4,5,7,11,12,13,14,16,NA,NA
2,7,8,9,11,13,14,15,NA,NA
1,3,4,7,8,13,15,16,NA,NA
4,5,6,7,8,10,12,13,NA,NA
1,2,4,8,12,13,14,16,NA,NA
2,8,10,13,14,15,16,17,NA,NA
1,2,4,8,12,14,15,16,NA,NA
1,2,3,4,5,6,10,11,NA,NA
1,4,7,8,13,14,16,17,NA,NA
1,6,9,10,12,13,14,15,NA,NA
1,4,5,8,9,10,14,16,NA,NA
1,3,4,8,9,11,14,17,NA,NA
1,3,6,7,8,12,15,17,NA,NA
2,3,9,10,11,13,14,15,NA,NA
2,3,4,9,10,13,15,16,NA,NA
2,3,5,6,7,8,9,15,NA,NA
3,6,7,8,9,10,14,16,NA,NA
1,2,5,7,9,13,15,17,NA,NA
1,2,5,7,11,14,15,17,NA,NA
1,2,4,9,11,12,13,17,NA,NA
2,7,9,10,14,15,16,17,NA,NA
1,5,9,11,14,15,16,17,NA,NA
1,4,7,8,9,10,12,14,NA,NA
2,3,4,8,9,10,14,15,NA,NA
1,2,3,5,6,8,12,14,NA,NA
2,3,6,7,8,12,13,15,NA,NA
1,2,5,9,13,14,15,16,NA,NA
2,4,7,9,11,13,16,17,NA,NA
1,2,5,6,9,12,13,14,NA,NA
2,4,6,8,10,12,14,16,NA,NA
4,5,7,10,11,12,15,17,NA,NA
1,2,3,4,9,13,14,17,NA,NA
3,4,5,7,9,10,16,17,NA,NA
1,2,3,8,9,11,13,16,NA,NA
1,2,5,8,11,13,14,16,NA,NA
2,3,5,6,7,10,13,16,NA,NA
1,3,5,6,7,9,10,16,NA,NA
2,3,4,5,6,8,11,17,NA,NA
3,4,7,9,10,13,15,17,NA,NA
4,5,7,8,9,13,14,16,NA,NA
1,5,8,10,11,12,14,16,NA,NA
1,4,7,10,13,14,16,17,NA,NA
1,5,7,8,11,12,14,17,NA,NA
1,3,5,7,8,10,12,17,NA,NA
2,3,4,7,10,13,16,17,NA,NA
1,4,6,12,13,14,16,17,NA,NA
5,6,7,8,10,12,13,14,NA,NA
1,3,5,6,8,11,12,16,NA,NA
5,7,8,10,11,12,14,16,NA,NA
1,2,6,7,9,13,15,17,NA,NA
2,3,7,9,10,11,13,14,NA,NA
2,3,4,10,12,13,15,17,NA,NA
1,5,7,9,11,12,13,17,NA,NA
1,5,6,7,10,11,13,16,NA,NA
1,3,5,11,12,15,16,17,NA,NA
2,3,5,6,7,8,12,16,NA,NA
5,10,11,13,14,15,16,17,NA,NA
4,6,7,13,14,15,16,17,NA,NA
1,5,8,11,12,13,15,16,NA,NA
3,8,10,12,13,14,16,17,NA,NA
4,7,8,9,10,12,14,16,NA,NA
1,3,5,6,8,10,15,17,NA,NA
1,6,8,9,11,13,14,16,NA,NA
1,2,3,5,6,8,9,11,NA,NA
3,7,8,9,10,13,14,16,NA,NA
1,2,4,5,6,7,8,12,NA,NA
3,4,6,7,9,12,14,17,NA,NA
2,3,5,7,9,10,13,15,NA,NA
1,7,8,11,13,14,15,17,NA,NA
2,6,9,10,11,12,13,16,NA,NA
3,4,8,10,11,12,15,16,NA,NA
2,6,9,13,14,15,16,17,NA,NA
1,2,7,8,9,13,15,17,NA,NA
2,4,5,7,8,9,14,16,NA,NA
4,6,7,10,11,13,14,17,NA,NA
1,2,3,4,6,8,12,14,NA,NA
1,2,3,4,6,7,10,12,NA,NA
1,3,4,6,8,9,10,15,NA,NA
2,3,5,7,9,10,12,17,NA,NA
3,5,6,9,10,12,15,17,NA,NA
2,3,4,6,7,14,15,17,NA,NA
2,4,6,8,9,10,16,17,NA,NA
2,3,4,7,10,11,12,16,NA,NA
4,5,6,9,11,12,13,14,NA,NA
1,2,5,9,12,15,16,17,NA,NA
1,2,3,4,5,10,13,17,NA,NA
4,5,7,8,9,10,11,17,NA,NA
3,7,8,9,11,12,15,17,NA,NA
2,3,5,7,10,12,14,15,NA,NA
1,2,4,5,10,12,14,16,NA,NA
2,3,5,9,11,12,13,16,NA,NA
1,3,7,8,10,11,16,17,NA,NA
1,5,7,8,12,13,14,15,NA,NA
2,4,5,9,10,12,14,16,NA,NA
3,6,7,8,11,13,15,17,NA,NA
4,6,7,10,11,14,15,17,NA,NA
3,4,5,6,8,10,14,15,NA,NA
1,4,6,8,11,13,15,17,NA,NA
2,4,9,10,11,12,13,16,NA,NA
1,8,10,11,13,14,16,17,NA,NA
2,5,6,10,12,13,14,16,NA,NA
1,3,4,8,12,13,16,17,NA,NA
1,3,4,7,12,14,16,17,NA,NA
1,2,3,8,10,11,12,13,NA,NA
1,3,5,10,11,14,16,17,NA,NA
2,3,6,7,9,13,15,17,NA,NA
5,7,8,12,13,14,15,16,NA,NA
2,4,5,6,9,10,15,17,NA,NA
2,3,4,5,7,10,11,17,NA,NA
1,2,3,6,10,12,15,17,NA,NA
4,5,6,8,10,11,12,17,NA,NA
1,3,4,7,8,15,16,17,NA,NA
1,2,3,5,6,9,13,17,NA,NA
1,4,7,8,9,10,11,12,NA,NA
3,6,8,9,10,15,16,17,NA,NA
1,2,3,7,8,10,12,16,NA,NA
1,2,3,7,9,15,16,17,NA,NA
1,4,5,6,8,11,12,17,NA,NA
1,2,3,7,8,9,12,15,NA,NA
1,4,8,10,12,13,14,15,NA,NA
4,8,9,10,11,12,15,17,NA,NA
2,3,6,7,8,11,12,17,NA,NA
1,3,5,6,8,12,15,17,NA,NA
4,5,6,7,8,10,11,15,NA,NA
2,6,7,8,9,11,12,13,NA,NA
2,6,8,10,12,14,15,16,NA,NA
1,6,8,9,10,12,13,16,NA,NA
1,3,4,5,6,10,11,14,NA,NA
1,3,6,8,12,14,16,17,NA,NA
1,6,8,9,10,11,15,17,NA,NA
3,4,5,6,7,11,13,17,NA,NA
6,8,10,12,13,14,15,17,NA,NA
1,4,5,9,11,14,15,16,NA,NA
1,5,6,10,12,14,16,17,NA,NA
2,3,8,10,11,12,15,16,NA,NA
1,5,8,11,13,15,16,17,NA,NA
2,3,7,8,9,10,13,16,NA,NA
2,3,6,7,8,9,15,16,NA,NA
1,5,8,9,12,13,14,15,NA,NA
5,10,11,12,13,14,16,17,NA,NA
2,3,5,6,7,12,13,14,NA,NA
2,3,5,11,12,15,16,17,NA,NA
1,2,3,5,6,7,10,17,NA,NA
1,5,6,7,9,11,12,13,NA,NA
2,3,4,8,9,10,12,17,NA,NA
1,3,8,10,12,13,14,16,NA,NA
2,4,6,7,9,11,15,16,NA,NA
2,4,7,8,9,10,12,16,NA,NA
1,2,4,5,8,11,15,17,NA,NA
2,4,7,10,12,13,16,17,NA,NA
1,6,7,10,12,13,15,17,NA,NA
2,5,6,8,9,10,13,17,NA,NA
1,3,7,8,10,11,12,17,NA,NA
1,2,4,8,9,13,16,17,NA,NA
3,4,6,8,10,13,15,17,NA,NA
3,7,9,10,11,12,15,16,NA,NA
5,6,9,12,13,14,15,17,NA,NA
