brood_year,smolt_year,coho_smolt_per_fem,chinook_juv_per_adult,coho_spawner_abundance,coho_redds_in_brood,coho_smolt_abun_est,chinook_spawner_abundance,chinook_spawner_abundance_long,chinook_juvenile_abundance,f1_recon_20,f1_recon_40,f1_recon_120,s1_discon_20,s1_discon_40,s1_discon_120,f2_recon_20,f2_recon_40,f2_recon_120,s2_discon_120,d1_DS_Dur_WS,d1_DS_Tim,d1_DS_Mag_50,d1_DS_Mag_90,f1_FA_Dur,f1_FA_Mag,f1_FA_Tim,f1_FA_Dif_num,w1_Wet_BFL_Dur,w1_Wet_BFL_Mag_10,w1_Wet_BFL_Mag_50,w1_Wet_Tim,w1_Peak_Tim_10,w1_Peak_Tim_2,w1_Peak_Tim_5,w1_Peak_Dur_10,w1_Peak_Dur_2,w1_Peak_Dur_5,w1_Peak_10,w1_Peak_2,w1_Peak_5,w1_Peak_Fre_10,w1_Peak_Fre_2,w1_Peak_Fre_5,s1_SP_ROC,s1_SP_ROC_Max,s1_SP_Dur,s1_SP_Mag,s1_SP_Tim,wy1_Mean_Ann_Flow,wy1_WY_Cat,d2_DS_Dur_WS,d2_DS_Tim,d2_DS_Mag_50,d2_DS_Mag_90,f2_FA_Dur,f2_FA_Mag,f2_FA_Tim,f2_FA_Dif_num,w2_Wet_BFL_Dur,w2_Wet_BFL_Mag_10,w2_Wet_BFL_Mag_50,w2_Wet_Tim,w2_Peak_Tim_10,w2_Peak_Tim_2,w2_Peak_Tim_5,w2_Peak_Dur_10,w2_Peak_Dur_2,w2_Peak_Dur_5,w2_Peak_10,w2_Peak_2,w2_Peak_5,w2_Peak_Fre_10,w2_Peak_Fre_2,w2_Peak_Fre_5,s2_SP_ROC,s2_SP_ROC_Max,s2_SP_Dur,s2_SP_Mag,s2_SP_Tim,wy2_Mean_Ann_Flow,wy2_WY_Cat,w1_num_days_gt_90_pctile,w2_num_days_gt_90_pctile
1999,2001,NA,44.9,NA,NA,NA,3584,3584,160906,1,1,59,346,337,319,7,43,172,228,100,324,63,182,5,141,30,78,178,209,1030,59,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0693641066758299,0.137931034482759,71,1770,237,582.161202185792,2,154,308,50,97,NA,NA,NA,15,131,99.1,177,97,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.105897009966777,0.315384615384615,32,1040,228,132.403561643836,1,23,0
2000,2002,NA,100.8,NA,NA,NA,6253,6253,630151,7,43,172,292,287,228,83,83,83,365,154,308,50,97,NA,NA,NA,15,131,99.1,177,97,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.105897009966777,0.315384615384615,32,1040,228,132.403561643836,1,170,260,5.3,16,4,502,53,496.7,177,410.8,638,65,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0625,0.133574007220217,59,1030,242,411.001095890411,2,0,9
2001,2003,NA,47.4,NA,212,NA,6142,6142,291207,83,83,83,341,329,306,56,69,70,365,170,260,5.3,16,4,502,53,496.7,177,410.8,638,65,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0625,0.133574007220217,59,1030,242,411.001095890411,2,137,301,15.1,78.08,15,37.5,34,22.4,169,633.3,1240,73,NA,89,NA,NA,2,NA,13440,4520,10960,NA,1,NA,0.0657999212886566,0.19,87,2300,242,807.035890410959,3,9,66
2002,2004,NA,29.2,NA,20,NA,4308,4308,125909,56,69,70,365,362,323,1,1,70,366,137,301,15.1,78.08,15,37.5,34,22.4,169,633.3,1240,73,NA,89,NA,NA,2,NA,13440,4520,10960,NA,1,NA,0.0657999212886566,0.19,87,2300,242,807.035890410959,3,97,329,61.4,114.6,5,99,29,35.1,156,308,756,61,NA,141,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0645033031563494,0.157608695652174,88,1470,217,489.697540983607,2,66,8
2003,2005,NA,100.5,NA,6,NA,12053,12053,1211604,1,1,70,341,332,309,29,49,98,365,97,329,61.4,114.6,5,99,29,35.1,156,308,756,61,NA,141,NA,NA,1,NA,13440,4520,10960,NA,1,NA,0.0645033031563494,0.157608695652174,88,1470,217,489.697540983607,2,127,305,25.3,95.26,3,103,25,77,173,329.3,555,67,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0719707671733439,0.181208053691275,70,1570,240,435.724931506849,2,8,15
2004,2006,NA,453.6,NA,960,95815,467,467,211847,29,49,98,347,338,317,25,55,67,365,127,305,25.3,95.26,3,103,25,77,173,329.3,555,67,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0719707671733439,0.181208053691275,70,1570,240,435.724931506849,2,109,310,27.75,204.7,9,488,38,460.2,178,607,1580,54,92,83,92,1,12,1,13440,4520,10960,1,3,1,0.0600272851296043,0.156378600823045,89,3600,232,1251.76054794521,3,15,107
2005,2007,NA,17.6,NA,31,3931,756,756,13279,25,55,67,365,357,324,1,4,74,289,109,310,27.75,204.7,9,488,38,460.2,178,607,1580,54,92,83,92,1,12,1,13440,4520,10960,1,3,1,0.0600272851296043,0.156378600823045,89,3600,232,1251.76054794521,3,115,321,61.9,286,12,103,42,39.5,106,330.6,670,71,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0564095225267694,0.141538461538462,102,1120,177,410.383726027397,2,107,10
2006,2008,NA,74.7,NA,14,1142,4960,4960,370622,1,4,74,334,313,289,46,49,49,366,115,321,61.9,286,12,103,42,39.5,106,330.6,670,71,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0564095225267694,0.141538461538462,102,1120,177,410.383726027397,2,129,279,12.65,91.49,11,778,20,764.3,199,166.6,502.5,43,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0504626092861387,0.143656716417911,68,1340,242,411.816666666667,2,10,8
2007,2009,85.15,159.4,1622,250,73232,4505,4505,717948,46,49,49,348,340,313,27,52,63,300,129,279,12.65,91.49,11,778,20,764.3,199,166.6,502.5,43,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0504626092861387,0.143656716417911,68,1340,242,411.816666666667,2,86,310,19.4,39.74,11,39.9,12,19.3,200,101,228,31,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0703528399311531,0.196551724137931,55,1160,231,269.326794520548,1,8,4
2008,2010,101.78,229.1,63,24,3257,4673,4673,1070520,27,52,63,327,314,300,46,70,113,365,86,310,19.4,39.74,11,39.9,12,19.3,200,101,228,31,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0703528399311531,0.196551724137931,55,1160,231,269.326794520548,1,117,286,10.65,27.59,2,32.9,17,21.5,220,54.4,472,38,NA,NA,NA,NA,NA,NA,13440,4520,10960,NA,NA,NA,0.0686695278969958,0.14792899408284,60,1690,258,462.887260273973,2,4,22
